focal_entity,candidate_entity,label
nuwave bravo 10 qaurt,"NuWave Brio 6-Quart Healthy Digital Smart Air Fryer with Probe One-Touch Digital Controls, Advanced Cooking Functions, Removable Divider Insert & Grill Pan (NEW ACCESSORY)",False
goodthreada cardigan wool,"Amazon Brand - Goodthreads Men's Soft Cotton Cardigan Summer Sweater, Black, Medium",True
goodthreada cardigan wool,"Amazon Brand - Goodthreads Men's Supersoft Marled Cardigan Sweater, Denim Large",False
goodthreada cardigan wool,"Amazon Brand - Goodthreads Men's Lambswool V-Neck Sweater, Heather Grey X-Large",True
goodthreada cardigan wool,"Amazon Brand - Goodthreads Women's Boucle Cardigan Sweater, Charcoal Heather, Medium",False
northface winter jacket woman,"OutdoorMaster Women's 3-in-1 Ski Jacket - Winter Jacket Set with Fleece Liner Jacket & Hooded Waterproof Shell - for Women (Black,M)",True
northface winter jacket woman,JASAMBAC Women's Rain Jacket Raincoats Waterproof Lightweight Outdoor Hooded Trench Coats Black M,True
northface winter jacket woman,"The North Face Women's Metropolis Insulated Parka III - Long Winter Coat, TNF Black, M",False
northface winter jacket woman,"The North Face Jim Beanie, Mid Grey/Asphalt Grey, OS",False
seiko kinetic gmt,Seiko 30th Anniversary GMT World Time Limited Edition Watch SPL060 Gold Brown,False
seiko kinetic gmt,Seiko Prospex Padi Solar SNE435P1,True
seiko kinetic gmt,Seiko Prospex GMT SUN061P1 Mens Wristwatch With kinetic movement,True
seiko kinetic gmt,Seiko SUN065 Special Edition Padi Kinetic GMT Diver Watch by Seiko Watches,False
brita bottle filter,"AQUACREST Water Bottle Filter, Replacement for Brita BB06, Brita Hard Sided, Sport and Stainless Steel Bottle Filter, 4 Count",True
brita bottle filter,"Brita Water Bottle Filter, Premium Water Bottle Replacement Filters, BPA Free, 3 Count",False
cuisinart coffee grinder parts,"DR MILLS DM-7451 Electric coffee grinder, Dried Spice, nut, herb Grinder, detachable cup, Dishwashable, SUS304 stianlees steel",False
cuisinart coffee grinder parts,"DR MILLS DM-7441 Electric Dried Spice and Coffee Grinder, Blade & cup made with SUS304 stianlees steel (black)",False
cuisinart coffee grinder parts,Cuisinart Burr Mill Coffee Grinder Electric 8 Oz.,False
cuisinart coffee grinder parts,12-Pack Replacement Charcoal Water Filters for Use with Cuisinart coffee machines,False
