focal_entity,candidate_entity,label,description_of_focal_entity,description_of_candidate_entity
drug-induced hearing loss,placenta disease,False,A nonsyndromic deafness that is characterized by cochlear or vestibular dysfunction resulting in loss of hearing caused by drug ototoxicity.,A uterine disease that is located in the placenta.
cone-rod dystrophy,basal laminar drusen,False,A retinal degeneration that characterized by progressive deterioration of the cone and rod photoreceptor cells.,A retinal drusen characterized by yellow-white deposits (drusen) that accumulate beneath the retinal pigment epithelium on Bruch membrane and that has material basis in mutations in the CFH gene on chromosome 1q31.3.
B cell and dendritic cell deficiency,"T cell, B cell, and NK cell deficiency",False,A combined immunodeficiency characterized by impaired function or reduced numbers of dendritic cells and B cells.,"A combined immunodeficiency characterized by impaired function or reduced numbers of T cells, B cells, and natural killer (NK) cells."
hemangioma,adenomyoma,False,A cardiovascular organ benign neoplasm that has material basis in endothelial cells that line blood vessels and is characterized by increased number of normal or abnormal vessels filled with blood.,A cell type benign neoplasm that has material basis in gland and muscle components.
hemopneumothorax,endometriosis,False,A pneumothorax that is characterized by having air in the chest cavity and blood in the chest cavity.,A female reproductive system disease characterized by the growth of endometrial tissue outside the uterine body.
chest wall lymphoma,bone cancer,False,A thoracic cancer that is located in the chest wall.,A connective tissue cancer that is located in bone and is characterized by uncontrolled cellular proliferation that destroys normal bone tissue.
phalanx chondroma,chondroblastoma,False,A bone benign neoplasm that is located in the phalanx that has material basis in cartilaginous cells.,"A connective tissue benign neoplasm that derives from chondroblasts and begins in cartilage at the ends of long bones (thighbone, shinbone, humerus) close to the joints."
retinoblastoma,cervicitis,False,A retinal cell cancer and malignant neoplasm of retina and neuroblastoma and neuroendocrine tumors that derives from the tissues of the retina.,A cervix disease that is characterized by inflammation of the cervix.
sex cord-gonadal stromal tumor,autosomal dominant cerebellar ataxia,False,"A reproductive organ cancer that is located in the sex cord-derived tissues of the ovary or testis and derives from granulosa cells, Leydig cells, Sertoli cells, and fibroblasts.",A cerebellar ataxia that has material basis in autosomal dominant inheritance.
leukodystrophy,hydrocephalus,False,A cerebral degeneration characterized by dysfunction of the white matter of the brain.,"A cerebral degeneration characterized by an abnormal accumulation of cerebrospinal fluid in the ventricles of the brain, leading to progressive enlargement of the head."
rickets,osteomalacia,False,"A bone remodeling disease that has material basis in impaired mineralization or calcification of bones before epiphyseal closure due to deficiency or impaired metabolism of vitamin D, phosphorus or calcium which results in softening and deformity located in bone.",A bone remodeling disease that has material basis in a vitamin D deficiency which results in softening located in bone.
neurosarcoidosis,uveoparotid fever,False,"A sarcoidosis that is characterized by involvement of the nervous symptom with cranial nerve palsy, diffuse meningeal disease, acute polyneuropathy, myelitis, or hypothalamic pituitary axis malformation, develops from a type IV hypersensitivity reaction with noncaseating granulomas involving the nervous system.","A sarcoidosis that is characterized by unilateral facial nerve palsy, parotid gland enlargement, anterior uveitis, and low grade fever, and develops from a type IV hypersensitivity reaction with noncaseating granulomatous infiltration of especially the parotid glands which compresses the facial nerve."
Loeffler syndrome,gastrointestinal allergy,False,An eosinophilic pneumonia described as a form of pulmonary eosinophilia characterized as a mild pneumonitis marked by transitory pulmonary infiltration and eosinophilia and usually considered to be an allergic reaction. It can occur in response to a parasitic infection.,An allergic disease that is located in the gastrointestinal tract.
nephrosis,keratosis,False,"A proteinuria that is characterized by the leaking of blood protein into the urine, swelling or edema, and degenerative lesions without inflammation.",A skin disease characterized by growth of keratin on the skin or mucous membranes.
lobomycosis,eumycotic mycetoma,False,"A dermatomycosis that results in infection located in skin or located in subcutaneous tissue, has material basis in Lacazia loboi and has symptom crusty plaques, has symptom tumors and results in formation of nodular lesions.","A dermatomycosis that effects skin and subcutaneous tissue located in foot, located in trunk, located in buttocks, located in eyelids, located in lacrimal glands, located in paranasal sinuses, located in mandible, located in scalp, located in neck, located in perineum, or located in testes and has symptom sinus discharge and results in formation of nodules."
aspartylglucosaminuria,mucopolysaccharidosis,False,"A lysosomal storage disease that is characterized by delayed speech at 2-3 years of age, has material basis in mutations in the AGA gene that result in the absence or shortage of the aspartylglucosaminidase enzyme in lysosomes, preventing the normal breakdown of glycoproteins.",A lysosomal storage disease that involves the accumulation of glycosaminoglycans in the tissues and their excretion in the urine.
Bryant-Li-Bhoj neurodevelopmental syndrome,Luo-Schoch-Yamamoto syndrome,False,An autosomal dominant intellectual developmental disorder that is characterized by developmental delay / intellectual disability (typically in the severe range) and nonspecific craniofacial abnormalities.,A autosomal dominant intellectual developmental disorder characterized by global developmental delay and impaired intellectual development apparent from infancy that has material basis in heterozygous mutation in the RNF2 gene on chromosome 1q25.
Arts syndrome,Raynaud-Claes syndrome,False,"An X-linked disease that is characterized by profound congenital sensorineural hearing impairment, early-onset hypotonia, delayed motor development, mild to moderate intellectual disability, ataxia, and increased risk of infection and has material basis in mutations of the PRPS1 gene.","A syndromic X-linked intellectual disability characterized by borderline to severe intellectual disability, impaired language development, and variable additional features including; behavioral problems, psychiatric disorders, seizures, progressive ataxia, brain abnormalities, and facial dysmorphisms that has material basis in heterozygous or hemizygous mutation in the CLCN4 gene on chromosome Xp22.2."
hemophagocytic lymphohistiocytosis,Hennekam syndrome,False,"A lymphatic system disease that is characterized by an expansion of the monocyte-macrophage population and intense hemophagocytosis. It can occur de novo, but more often occurs in the setting of another disorder, usually an infection or a malignancy. A clinical picture of fever, hepatosplenomegaly, lymphadenopathy and peripheral pancytopenia. The morphologic hallmark of this syndrome is the phagocytosis of hematopoietic elements by morphologically normal macrophages.","A lymphatic system disease characterized by he presence of intestinal lymphangiectasia, mental retardation, and characteristic facial anomalies. It is inherited in an autosomal recessive pattern. Most individuals with Hennekam syndrome have characteristic facial abnormalities, such as a flat face with accompanying puffy eyelids and hypertelorism; the nasal bridge is typically flat and the ears are typically small. Congenital extremity and genital lymphedema is present in most patients."
chorioamnionitis,placental abruption,False,A placenta disease that is an inflammation of the fetal membranes (amnion and chorion) due to a bacterial infection.,A placenta disease that is characterized by separation of the placental lining from the uterus of the mother.
HELLP syndrome,poliomyelitis,False,"A severe pre-eclampsia characterized by hemolysis, elevated liver enzyme and low platelet count.","A viral infectious disease that results in destruction located in motor neurons, has material basis in Human poliovirus 1, has material basis in Human poliovirus 2, or has material basis in Human poliovirus 3, which are transmitted by ingestion of food or water contaminated with feces, or transmitted by direct contact with the oral secretions. The infection has symptom fever, has symptom sore throat, has symptom headache, has symptom vomiting, has symptom fatigue, has symptom neck stiffness, has symptom muscle spasms, and has symptom acute flaccid paralysis."
cyclosporiasis,sarcocystosis,False,"A coccidiosis that involves infection of the intestine with the parasitic protozoan Cyclospora cayetanensis, which is transmitted by contaminated food and water. The symptoms include watery diarrhea, anorexia, weight loss, abdominal pain, nausea and vomiting, myalgias, low-grade fever, and fatigue.","A coccidiosis that involves infection of the intestine and muscles of humans and animals caused by an intracellular protozoan parasite of genus Sarcocystis. The symptoms include mild fever, diarrhea, chills, vomiting, muscle swelling, erythema, muscle tenderness,cough, arthralgia, transient pruritic rashes, headache, malaise and lymphadenopathy."
brain stem ependymoma,neurodegenerative disease,False,"A high grade ependymoma that is characterized by abnormal growth of the neuroepithelial lining of the ventricular system, has material basis in abnormally proliferating cells derives from ependymal cells.",A central nervous system disease that results in the progressive deterioration of function or structure of neurons.
Barth syndrome,Brunner Syndrome,False,A 3-methylglutaconic aciduria that has material basis in X-linked inheritance of the tafazzin gene and is characterized by decreased production of an enzyme required to produce cardiolipin.,"An amino acid metabolic disorder characterized by recessive X-linked inheritance, impaired monoamine metabolism, impulsive aggressiveness and mild mental retardation that has material basis in mutation in the MAOA gene on chromosome Xp11."
TNF receptor–associated periodic syndrome,Saul-Wilson syndrome,False,"An autoinflammatory disease characterized by recurrent fever, abdominal pain, localized tender skin lesions, arthralgia and myalgia associated with skin, joint, ocular and serosal inflammation that has material basis in heterozygous mutation in the TNFRSF1A gene on chromosome 12p13.","A bone development disease characterized by early developmental delay primarily involving speech, distinct facial features, short stature, brachydactyly, clubfoot deformities, cataracts, and microcephaly that has material basis in heterozygous mutation in the COG4 gene on chromosome 16q22.1."
Dressler's syndrome,eosinophilic pneumonia,False,"A pericarditis characterized by inflammation, occurring after injury, located in pericardium.","A pneumonia in which certain type of white blood cell called an eosinophil accumulates in the lung. These cells cause disruption of the normal air spaces (alveoli) where oxygen is extracted from the atmosphere. It is caused by certain medications or environmental triggers, parasitic infections, and cancer. The most common symptoms include cough, fever, difficulty breathing, and sweating at night."
campylobacteriosis,urinary tract infection,False,"A primary bacterial infectious disease that results in infection located in intestine, has material basis in Campylobacter jejuni, which is transmitted by ingestion of contaminated food or water or transmitted by contact with infected people or animals. The infection has symptom diarrhea or has symptom dysentery, has symptom abdominal cramps and pain, and has symptom fever.","An urinary system disease that is characterized by an infection in any part of the urinary system, including the kidneys, ureters, bladder or urethra."
hemidystonia,autoimmune disease of musculoskeletal system,False,A multifocal dystonia that involves the arm and leg on the same side of the body.,An autoimmune disease that is the abnormal functioning of the immune system that causes your immune system to produce antibodies or T cells against cells and/or tissues in the musculoskeletal system.
malignant neoplasm of short bones of lower limb,adamantinoma,False,A bone cancer that is located in the short bones of lower limbs.,A bone cancer that is located in almost exclusively in the long bones.
erythema nodosum,drug allergy,False,"A panniculitis that is characterized by sudden onset of painful, erythematous, subcutaneous nodules mainly localized to the pretibial areas. Lesions are usually bilateral and symmetrical, ranging from 1 to 5 cm in diameter.",An allergic disease that is triggered by a drug.
vulvar eccrine porocarcinoma,vulvar clear cell hidradenocarcinoma,False,"A vulva carcinoma that is characterized by heterogenous histology that includes squamous cells, mucinous cells, clear cells, pigmented cells, and spindle cells and derives from eccrine sweat glands.",A vulva carcinoma that derives from sweat glands and is characterized by the presence of clear cells.
hypomyelinating leukoencephalopathy,dentatorubral-pallidoluysian atrophy,False,"An autosomal dominant cerebellar ataxia that is characterized by nystagmus, spasticity, and a distinct pattern of MRI abnormalities.",An autosomal dominant cerebellar ataxia that has material basis in expansion of CAG triplet repeats (glutamine) encoding a polyglutamine tract in the atrophin-1 protein.
ketoprofen photoallergic dermatitis,neomycin sulfate allergic contact dermatitis,False,A photoallergic dermatitis that has allergic trigger ketoprofen.,An allergic contact dermatitis that has allergic trigger neomycin sulfate.
carcinosarcoma,primary hyperaldosteronism,False,A mixed cell type cancer that has material basis in carcinomatous (epithelial tissue) and sarcomatous (connective tissue) components.,An adrenal gland hyperfunction disease that results in the overproduction of aldosterone by the adrenal glands.
variola major,variola minor,False,"A smallpox that results in severe infection, located in skin, has material basis in Variola virus. The infection results in formation of lesions.","A smallpox that results in milder infection, located in skin, has material basis in Variola virus. The infection results in formation of lesions."
dementia,syndactyly,False,"A cognitive disorder resulting from a loss of brain function affecting memory, thinking, language, judgement and behavior.",A synostosis that results in the fusion of two or more digits.
specific phobia,agoraphobia,False,A phobic disorder that is characterized by an unreasonable or irrational fear related to exposure to specific objects or situations.,A phobic disorder involving the specific anxiety about being in a place or situation where escape is difficult or embarrassing or where help may be unavailable.
idiopathic pulmonary fibrosis,achondrogenesis type II,False,A pulmonary fibrosis that is characterized by scarring of the lung characterized by stiffness in the lungs and makes it difficult to breathe.,"An achondrogenesis that has material basis in mutations in the COL2A1 gene which results in underdeveloped lungs, hydrops fetalis, a prominent forehead and abnormal ossification of the located in vertebral column or located in pelvis."
monilethrix,congenital limbs-face contractures-hypotonia-developmental delay syndrome,False,"A hair disease that is characterized by short, easily broken hair that results in alopecia and has material basis in mutations in genes for type II hair cortex keratins.","A syndrome that is characterized by congenital contractures of the limbs and face, resulting in characteristic facial features, hypotonia, and variable degrees of developmental delay and that has material basis in heterozygous mutation in the NALCN gene on chromosome 13q33."
X-linked cardiac valvular dysplasia,mouth disease,False,A heart valve disease characterized by multivalvular dysplasia and regurgitation with more severe phenotypes in hemizygous males compared to heterozygous females that has material basis in mutation in the FLNA gene on chromosome Xq28.,A gastrointestinal system disease that is located in the mouth.
acrokeratosis verruciformis,paraganglioma,False,A keratosis that has material basis in mutations in the ATP2A2 gene.,A pheochromocytoma that arises in extraadrenal sympathetic ganglia.
pulmonary aspergilloma,capillariasis,False,"An aspergillosis that presents as a clump of tangled mass of Aspergillus fungus fibres, blood clots, and white blood cells, which exists in the cavities of the lungs that develop in an area of previous lung disease or lung scarring.","A parasitic helminthiasis infectious disease that involves infection of the intestine, liver and lungs caused by Capillaria species."
endodermal sinus tumor,seminoma,False,A germ cell cancer that has material basis in cells that line the yolk sac of the embryo.,A germinoma that has material basis in cells that make sperm and eggs.
pseudomyxoma peritonei,bone benign neoplasm,False,An appendix cancer that is characterized by progressive accumulation of mucus-secreting tumor cells within the abdomen and pelvis.,A connective tissue benign neoplasm that is located in bone.
pulpitis,cholangitis,False,A dental pulp disease characterized by inflammation.,A bile duct disease that is an inflammation of the bile duct.
ganglioneuroma,tauopathy,False,An autonomic nervous system benign neoplasm that is characterized by the presence of mature ganglion cells and a mature Schwannian stroma and arises from the sympathetic trunk in the mediastinum.,A neurodegenerative disease that has material basis in the pathological aggregation of tau protein in so-called neurofibrillary tangles (NFT) in the human brain.
cervix squamous papilloma,ectodermal dysplasia,False,A cervical benign neoplasm that is a polypoid lesion characterized by a single papillary frond with a central fibrovascular core and mature squamous epithelium.,"A syndrome characterized by abnormal development in 2 or more ectodermal structures (hair, nails, teeth, and sweat glands) without other systemic findings."
Alzheimer's disease,chronic traumatic encephalopathy,False,"A tauopathy that is characterized by memory lapses, confusion, emotional instability and progressive loss of mental ability and results in progressive memory loss, impaired thinking, disorientation, and changes in personality and mood starting and leads in advanced cases to a profound decline in cognitive and physical functioning and is marked histologically by the degeneration of brain neurons especially in the cerebral cortex and by the presence of neurofibrillary tangles and plaques containing beta-amyloid.","A tauopathy that is characterized by an abundance of hyperphosphorylated tau protein in neurons, astrocytes and cell processes around blood vessels and that is associated with repetitive head impacts or exposure to blast waves."
chondrosarcoma,osteosarcoma,False,A bone sarcoma that has material basis in cells derived from transformed cells that produce cartilage.,"A bone sarcoma that is located in bone that has material basis in cells of mesenchymal origin. It usually involves bones and less frequently extraosseous sites. It often involves the long bones (particularly distal femur, proximal tibia, and proximal humerus)."
alcohol use disorder,vaginal cancer,False,A substance abuse that involves the recurring use of alcoholic beverages despite negative consequences.,A female reproductive system cancer that is located in the vagina.
bronchus carcinoma in situ,bronchitis,False,An in situ carcinoma located in the bronchus that most commonly develops into adenocarcinoma.,"A bronchial disease that is an inflammation of the bronchial tubes. It is caused by bacteria and viruses. The disease has symptom cough with mucus, has symptom shortness of breath, has symptom low fever and has symptom chest tightness."
Trichomonas tenax trichomoniasis,oral submucous fibrosis,False,"A trichomoniasis that is caused by a singled-celled protozoan parasite Trichomonas tenax, which is transmitted through oral droplets, by kissing, or on fomites such as eating utensils. Trichomonas tenax causes periodonitis and bronchopulmonary trichomoniasis by aspiration from the oropharynx.",A mouth disease that is characterized by juxta-epithelial inflammatory reaction and progressive fibrosis of the submucosal tissues.
acute eustachian salpingitis,chronic eustachian salpingitis,False,A otosalpingitis with a sudden onset and a short course.,A otosalpingitis which is persistent and long-lasting.
hydrophthalmos,ethmoid sinusitis,False,"A primary congenital glaucoma characterized by early onset glaucoma in one or both eyes with elevated intraocular pressure and increased corneal diameter and has symptom early vision loss, increased corneal diameter, and increased corneal thickness. Hydrophthalmus is caused by congenital defects of the trabecular meshwork and anterior chamber angle that block aqueous outflow and raises intraocular pressure, leading to optic nerve atrophy and early vision loss.","A sinusitis which involves infection of ethmoid sinuses that causes pain or pressure behind and between the eyes, tearing, and headache over the forehead."
extrahepatic bile duct carcinoma,cholangiocarcinoma,False,A cholangiocarcinoma that arises from the extrahepatic bile ducts.,A bile duct adenocarcinoma that has material basis in bile duct epithelial cells.
ureter cancer,vesicoureteral reflux,False,A urinary system cancer that is located in the ureter.,A ureteral disease characterized by backward flow of urine from the urinary bladder into the ureter.
rhinosporidiosis,osteochondrodysplasia,False,"A parasitic Ichthyosporea infectious disease that is a chronic granulomatous infection of the mucous membranes caused by the parasite Rhinosporidium seeberi, which manifests as vascular friable polyps that arise from the nasal mucosa or external structures of the eye. Disease of the skin, mouth, upper airways, ear, genitals, and rectum has also been observed.",A bone development disease that results in defective development of cartilage or bone.
autoimmune gastritis,gastritis,False,An autoimmune disease of gastrointestinal tract that is located in the stomach.,A stomach disease that is an inflammation of the lining of the stomach.
arterial tortuosity syndrome,mucinoses,False,A connective tissue disease that is characterized by elongation and generalized tortuosity of the major arteries including the aorta.,A connective tissue disease characterized by accumulation of glycosaminoglycan located in the dermal tissue.
Kartagener syndrome,Stromme syndrome,False,"A primary ciliary dyskinesia that is characterized by sinusitis, bronchiectasis and situs inversus with dextrocardia resulting from dysfunction of the cilia during embryologic development.","A primary ciliary dyskinesia that is characterized by autosomal recessive inheritance and ciliopathy with some type of intestinal atresia, variable ocular abnormalities, microcephaly, and has material basis in compound heterozygous mutation in the CENPF gene on chromosome 1q41."
miliaria,pompholyx,False,A sweat gland disease that is characterized by blocked eccrine sweat glands and ducts.,"A sweat gland disease that is characterized by recurrent vesicles and bullae that develop particularly upon the lateral palms, soles, and fingers and has symptom pruritis and cracked skin."
malignant exocrine pancreas neoplasm,pancreas sarcoma,False,A pancreatic cancer that arises from the epithelial cells of the exocrine pancreatic tissue.,A pancreatic cancer that is located in the pancreas and that arises from transformed cells of mesenchymal origin.
hereditary ataxia,SPOAN syndrome,False,"A neurodegenerative disease that is characterized by slowly progressive incoordination of gait and often associated with poor coordination of hands, speech, and eye movements.","A neurodegenerative disease characterized by spastic paraplegia, axonal neuropathy, dysarthria, acoustic startle, and congenital optical atrophy and that has material basis in homozygous mutation in the KLC2 gene on chromosome 11q13.2."
fragile X-associated tremor/ataxia syndrome,muscular dystrophy,False,"A X-linked hereditary ataxia that is characterized by adult-onset progressive intention tremor and gait ataxia, has material basis in expanded trinucleotide repeat of the FMR1 gene that results in a toxic gain of function of FMR1 RNA.",A myopathy is characterized by progressive skeletal muscle weakness degeneration.
drug allergy,Loeffler syndrome,False,An allergic disease that is triggered by a drug.,An eosinophilic pneumonia described as a form of pulmonary eosinophilia characterized as a mild pneumonitis marked by transitory pulmonary infiltration and eosinophilia and usually considered to be an allergic reaction. It can occur in response to a parasitic infection.
Pelizaeus-Merzbacher disease,pyoderma,False,"A hypomyelinating leukodystrophy characterized by impaired myelin formation, nystagmus, spastic quadriplegia, ataxia, and developmental delay that has material basis in mutation in the PLP1 gene on chromosome Xq22.",A dermatitis that is characterized by a pyogenic infection causing the formation of pus.
maple syrup urine disease,retinal degeneration,False,"An organic acidemia that is caused by a deficiency of decarboxylase leading to high concentrations of valine, leucine, isoleucine, and alloisoleucine in the blood, urine, and cerebrospinal fluid and characterized by an odor of maple syrup to the urine, vomiting, hypertonicity, severe mental retardation, seizures, and eventually death unless the condition is treated with dietary measures.",A retinal disease that is characterized by deterioration of the retina caused by the progressive and eventual death of the cells of the retina.
cortisone reductase deficiency,central precocious puberty,False,An endocrine system disease characterized by failure to regenerate the active glucocorticoid cortisol from cortisone resulting in adrenal hyperandrogenism.,An endocrine system disease characterized by early activation of the hypothalamic-pituitary-gonadal axis resulting in development of secondary sexual characteristics before the age of 8 years in girls and 9 years in boys.
mumps,sialadenitis,False,"A viral infectious disease that results in inflammation located in salivary gland, has material basis in Mumps rubulavirus, which is transmitted by droplet spread of saliva or mucus from the mouth, nose, or throat of an infected person, or transmitted by contaminated fomites. The infection has symptom fever, has symptom headache, has symptom muscle aches, has symptom tiredness, has symptom loss of appetite, has symptom swollen and tender salivary glands under the ears or jaw on one or both sides of the face.",A salivary gland disease that is characterized as an infection of the salivary glands.
xerophthalmia,pericarditis,False,"A dry eye syndrome that is characterized by conjunctival and corneal xerosis, Bitot's spots, keratomalacia, nyctalopia, and retinopathy resulting from vitamin A deficiency.",A pericardium disease that is characterized by an inflammation of the pericardium and has symptom chest pain.
chronic ethmoiditis,acute ethmoiditis,False,A ethmoid sinusitis which lasts for 12 weeks or more.,A ethmoid sinusitis which lasts for less than 4 weeks.
otulipenia,mucopolysaccharidosis type IVB,False,"An immune system disease that is characterized by neonatal onset of recurrent fever, erythematous rash with painful nodules, painful joints, and lipodystrophy and has material basis in autosomal recessive inheritance of homozygous loss-of-function mutations in the OTULIN gene encoding a deubiquitinase with linear linkage specificity on chromosome 5p15.","A mucopolysaccharidosis IV characterized by skeletal dysplasia, corneal clouding, and increased urinary keratan sulfate excretion that has material basis in homozygous or compound heterozygous mutation in the GLB1 gene on chromosome 3p22.3."
vasculitis,Sturge-Weber syndrome,False,A vascular disease that is characterized by inflammation of the blood vessels.,"A vascular disease characterized by intracranial vascular anomaly, leptomeningeal angiomatosis, facial cutaneous vascular malformations, and glaucoma that has material basis in somatic mutation in the GNAQ gene on chromosome 9q21.2."
sepiapterin reductase deficiency,familial multiple lipomatosis,False,"A dystonia characterized by sustained muscle contractions with diurnal fluctuations, axial hypotonia, oculogyric crises, delays in motor and cognitive development and severe dopamine and serotonin deficiencies that has material basis in mutation in the SPR gene on chromosome 2p resulting in sepiapterin reductase deficiency.",A lipomatosis characterized by the development of numerous encapsulated lipomas on the extremities and trunk that has material basis in autosomal dominant inheritance.
relapsing polychondritis,lupus erythematosus,False,A chondromalacia that is characterized by recurrent inflammation of cartilage and other tissues throughout the body.,"An autoimmune disease that is characterized by a constellation of findings that include elevated antibodies to nuclear antigens, antiphospholipids, low complement levels, ulcers, non-scarring alopecia, renal or neurologic damage, and low white blood cell and platelet counts, has symptom rashes, fatigue, arthritis, hair loss, seizures, and symptoms related to affected organs."
erythroleukemia,achromatopsia,False,An acute erythroid leukemia characterized by the presence of at least 50% erythroid precursors and at least 20% myeloblasts in the bone marrow.,"A color blindness that is characterized by a congenital cone color vision disorder, the inability to perceive color and to achieve satisfactory visual acuity at high light levels has material basis in autosomal recessive inheritance."
endocervicitis,neuroacanthocytosis,False,A cervicitis that is located in the endocervix.,"A neurodegenerative disease that is characterized by characterized by misshapen, spiny red blood cells (acanthocytosis) and neurological abnormalities, especially movement disorders."
hypermethioninemia,alkaptonuria,False,"An amino acid metabolic disorder that involves an excess of the amino acid methionine, in the blood. This condition can occur when methionine is not broken down properly in the body.","An amino acid metabolic disorder that involves phenylalanine and tyrosine metabolism with the accumulation of homogentisic acid, a toxic tyrosine byproduct."
cholecystitis,glucosephosphate dehydrogenase deficiency,False,A cholangitis that is characterized by an inflammation that is located in the gallbladder.,A carbohydrate metabolic disorder that is characterized by abnormally low levels of glucose-6-phosphate dehydrogenase (abbreviated G6PD or G6PDH).
B-lymphoblastic leukemia/lymphoma,specific phobia,False,A B-cell acute lymphoblastic leukemia that is characterized by the presence of too many B-cell lymphoblasts in the blood and bone marrow.,A phobic disorder that is characterized by an unreasonable or irrational fear related to exposure to specific objects or situations.
angiosarcoma,pulmonary artery choriocarcinoma,False,A vascular cancer that derives from the cells that line the walls of blood vessels or lymphatic vessels.,A choriocarcinoma that is located in the pulmonary artery.
epidermolysis bullosa,pancreatic cancer,False,"A vesiculobullous skin disease that is characterized by formation of blisters with only minor skin trauma, which can cause widespread wounds, dehydration, electrolyte abnormalities, and severe infection, frequently develops from mutations in connective tissue elements, including genes encoding keratin, collagen, and laminin.",An endocrine gland cancer located in the pancreas.
Moebius syndrome,hawkinsinuria,False,"A facial nerve disease characterized by congenital, uni- or bilateral, non-progressive facial weakness and limited abduction of the eye(s).",An amino acid metabolic disorder characterized by a defect in tyrosine metabolism with transient metabolic acidosis and tyrosinemia that improves with a phenylalanine and tyrosine restricted diet and presence of the hawksin metabolite in the urine throughout life that has material basis in heterozygous mutation in HPD on chromosome 12q24.31.
mal de Meleda,Ullrich congenital muscular dystrophy,False,A palmoplantar keratosis characterized by autosomal recessive inheritance of symmetric palmoplantar hyperkeratosis that progressively extends to the dorsal surfaces of hands and feet and ichthyotic changes elsewhere that has material basis in homozygous mutation in the SLURP1 gene on chromosome 8q24.,"A congenital muscular dystrophy that is characterized by congenital weakness, hypotonia, proximal joint contractures, marked hyperlaxity of the distal joints, with a loss of ambulation (if achieved) and uniform respiratory insufficiency during childhood that has material basis in mutations in COL6A1, COL6A2 and COL6A3 genes."
anismus,X-linked dystonia-parkinsonism,False,A focal dystonia that is characterized by the failure of the pelvic floor muscles to relax during defecation.,A focal dystonia that is characterized by parkinsonism that is frequently accompanied by focal dystonia and progresses to generalized dystonia that has material basis in X-linked recessive inheritance of SVA retrotransposon insertion in the intron of the TATA-box binding protein associated factor 1 gene (TAF1) on chromosome Xq13.1.
La Crosse encephalitis,O'nyong'nyong fever,False,"A viral infectious disease that results in inflammation located in brain, has material basis in La Crosse virus, which is transmitted by treehole mosquito, Ochlerotatus triseriatus. The infection has symptom seizures, has symptom headache, has symptom fever, has symptom coma, and has symptom paralysis.","A viral infectious disease that results in infection located in joint, has material basis in Onyong-nyong virus, which is transmitted by Anopheles gambiae, and transmitted by Anopheles funestus mosquitoes. The infection has symptom fever, has symptom arthralgia, has symptom rash, and has symptom lymphadenitis."
endosalpingiosis,endometrial cancer,False,A female reproductive system disease characterized by the growth of fallopian tube-like epithelium outside the fallopian tube.,A uterine cancer that is located in tissues lining the uterus.
African iron overload,vulva carcinoma,False,"A hemochromatosis characterized by a predisposition to iron loading that is exacerbated by excessive intake of dietary iron, commonly related to consumption of tradition beer brewed in non-galvanized steel drums.",A vulva cancer that has material basis in abnormally proliferating cells derives from epithelial cells.
psychologic vaginismus,X-linked recessive disease,False,A psychosexual disorder that is characterized by involuntary spasm of the outer muscles of the vagina during penetration that results from a psychological cause.,A X-linked monogenic disease that has material basis in recessive inheritance.
Tukel syndrome,axial spondylometaphyseal dysplasia,False,"A congenital fibrosis of the extraocular muscles that is characterized by nonprogressive restrictive ophthalmoplegia with blepharoptosis of the right eye and postaxial oligodactyly/oligosyndactyly of the hands, with the right more severely affected than the left.","A spondylometaphyseal dysplasia characterized by postnatal growth failure, metaphyseal changes of truncal-juxtatruncal bones, and retinal abnormalities that has material basis in homozygous or compound heterozygous mutation in the CFAP410 gene on chromosome 21q22.3."
campomelic dysplasia,parastremmatic dwarfism,False,"An osteochondrodysplasia that has material basis in heterozygous mutation in the SOX9 gene on chromosome 17q24 and that is characterized by congenital shortness and bowing of long tubular bones, especially in the lower extremities, as well as by hypoplastic scapulae, narrow iliac wings, and nonmineralized thoracic pedicles.","An osteochondrodysplasia characterized by severe dwarfism, kyphoscoliosis, stiffness of large joints and bowing and twisting of lower limbs that has material basis in heterozygous mutation in the TRPV4 gene on chromosome 12q24.11."
isolated growth hormone deficiency,adrenocorticotropic hormone deficiency,False,"A hypopituitarism characterized by abnormally low levels, absence or impaired function of growth hormone in the absence of abnormalities in other pituitary hormones.",A hypopituitarrium that is characterized by a decreased or absent production of adrenocorticotropic hormone by the pituitary gland.
favism,vascular cancer,False,A glucosephosphate dehydrogenase deficiency characterized by a hemolytic reaction to consumption of broad beans.,A cardiovascular cancer that is located in blood vessels.
galactose epimerase deficiency,Boucher-Neuhauser syndrome,False,A galactosemia that has material basis in homozygous or compound heterozygous mutation in the GALE gene on chromosome 1p36.11.,"A syndrome characterized by spinocerebellar ataxia, hypogonadotropic hypogonadism, and chorioretinal dystrophy that has material basis in homozygous or compound heterozygous mutation in PNPLA6 on 19p13.2."
polyembryoma of the ovary,ovarian primitive germ cell tumor,True,An ovarian primitive germ cell tumor that is dominantly composed of embryoid bodies.,A malignant ovarian germ cell neoplasm that has material basis in primitive germ cells.
neurodevelopmental disorder with midbrain and hindbrain malformations,syndromic intellectual disability,True,"A syndromic intellectual disability characterized by mild microcephaly, midbrain-hindbrain malformations, decreased reflexes, impaired fine motor movements, and variable dysmorphic features that has material basis in homozygous mutation in the ARHGEF2 gene on chromosome 1q22.",An intellectual disability that is characterized by the presence of associated medical and behavioral sign and symptoms.
