focal_entity,candidate_entity,label,description_of_focal_entity,description_of_candidate_entity,subfield,subfield_definition
The Isgur-Wise Function from the Lattice,MOND--particularly as modified inertia,False,"We calculate the Isgur-Wise function by measuring the elastic scattering amplitude of a $D$ meson in the quenched approximation on a $24^3\times48$ lattice at $\beta=6.2$, using an $O(a)$-improved fermion action. Fitting the resulting chirally-extrapolated Isgur-Wise function to Stech's relativistic-oscillator parametrization, we obtain a slope parameter $\rho^2=1.2+7-3. We then use this result, in conjunction with heavy-quark symmetry, to extract $V_{cb}$\ from the experimentally measured $\bar B\to D^*l\bar\nu\,$\ differential decay width. We find $|V_{cb}|\sqrt{\tau_B/1.48{\mathrm ps}}= 0.038 +2-2 +8-3, where the first set of errors is due to experimental uncertainties, while the second is due to the uncertainty in our lattice determination of $\rho^2$.","After a succinct review of the MOND paradigm--with its phenomenology, and its various underlying theories--I concentrate on so called modified inertia (MI) formulations of MOND, which have so far received only little attention. These share with all MOND theories the salient MOND predictions, such as asymptotically flat rotation curves, and the universal mass-asymptotic-speed relation. My emphasis here is, however, on the fact that MI theories can differ substantially from their ""modified-gravity"" (MG) kin in predicting other phenomena. Because MI theories are non local in time, MOND effects depend on the full trajectory of a system, not only on its instantaneous state, as in MG theories. This may lead to rather different predictions for, e.g., the external-field effect (EFE): A subsystem, such as a globular cluster or a dwarf galaxy, moving in the field of a mother galaxy, or a galaxy in a cluster, may be subject to an EFE that depends on the accelerations all along its orbit, not only on the instantaneous value. And, it is even possible to construct MI theories with practically no EFE. Other predictions that may differ are also discussed. Since we do not yet have a full fledged, modified-inertia formulation, simple, heuristic models have been used to demonstrate these points.",High Energy Physics - Lattice,"High energy physics - lattice focuses on lattice field theory as a method to investigate the properties of quantum fields and strongly interacting systems, such as quantum chromodynamics (QCD), which is the theory of the strong interaction between quarks and gluons. Lattice field theory provides a non-perturbative approach to studying particle physics, allowing for numerical simulations of theories that are difficult or impossible to solve analytically. In particular, this includes lattice field theory. Phenomenology from lattice field theory. Algorithms for lattice field theory. Hardware for lattice field theory."
A Massive Young Star-Forming Complex Study in Infrared and X-ray: X-ray Sources in Ten Star Forming Regions,Geometric properties of acoustic waves generated by a point source in solar-like interior: effects of acoustic cut-off frequency,False,"The Massive Young star-forming complex Study in Infrared and X-ray (MYStIX) uses data from the Chandra X-ray Observatory to identify and characterize the young stellar populations in twenty Galactic (d < 4 kpc) massive star-forming regions. Here, the X-ray analysis for Chandra ACIS-I observations of ten of the MYStIX fields is described, and a catalog of >10,000 X-ray sources is presented. In comparison to other published Chandra source lists for the same regions, the number of MYStIX detected faint X-ray sources in a region is often doubled. While the higher catalog sensitivity increases the chance of false detections, it also increases the number of matches to infrared stars. X-ray emitting contaminants include foreground stars, background stars, and extragalactic sources. The X-ray properties of sources in these classes are discussed.",Acoustic waves generated by a point source in stratified plasma are considered in this paper. Analytical parametric solution for monochromatic source is derived for plane-parallel polytrope model of the solar interior. The solution is used to gain insight into the properties of the generated wavefront as a function of excitation frequency and depth. A slowly varying pressure perturbation moving in upper layers of solar photosphere with supersonic speed is also considered. It is shown to excite acoustic waves putting certain restrictions upon their geometry of the generated wavefront. The results are discussed in relation to flare generated sunquakes.,High Energy Astrophysical Phenomena,"High energy astrophysical phenomena focuses on cosmic ray production, acceleration, propagation, detection. Gamma ray astronomy and bursts, X-rays, charged particles, supernovae and other explosive phenomena, stellar remnants and accretion systems, jets, microquasars, neutron stars, pulsars, and black holes."
"Spectroscopic factors, overlaps, and isospin symmetry from an $R$-matrix point of view",Nuclear parton distribution functions and their effects on sin^2 theta_W anomaly,False,"Background: Spectroscopic factors, overlaps, and isospin symmetry are often used in conjunction with single-particle wave functions for the phenomenological analysis of nuclear structure and reactions. Many differing prescriptions for connecting these quantities to physically relevant asymptotic normalization constants or widths are available in the literature, but their relationship and degree of validity are not always clear. Purpose: This paper derives relationships among the above quantities of interest using well-defined methodology and starting assumptions. Method: $R$-matrix theory is used as the primary tool to interoperate between the quantities of interest to this work. Particular attention is paid to effects arising from beyond the nuclear surface, where isospin symmetry is strongly violated. Results: Relationships among the quantities of interest are derived. Example applications of these methods to mirror levels in nucleon+${}^{12}{\rm C}$, nucleon+${}^{16}{\rm O}$, and nucleon+${}^{26}{\rm Al}$ are presented. A new approach to multi-level mirror symmetry is derived and applied to the first three $2^+$ states of ${}^{18}{\rm O}$ and ${}^{18}{\rm Ne}$. Conclusions: The relationship between the quantities of interest is clarified and certain procedures are recommended. It is found that the asymptotic normalization constant of the second $2^+$ state in ${}^{18}{\rm Ne}$ deduced from the mirror state in ${}^{18}{\rm O}$ is significantly larger than found in previous work. This finding has the effect of increasing the ${}^{17}{\rm F}(p,\gamma){}^{18}{\rm Ne}$ reaction rate in novae.",Nuclear parton distribution functions (NPDFs) are investigated by analyzing the data on structure functions F_2^A and Drell-Yan cross sections sigma_{DY}^{pA}. An important point of this analysis is to show uncertainties of the NPDFs by the Hessian method. The analysis indicates that the uncertainties are large for antiquark distributions at x>0.2 and gluon distributions in the whole x region. We also discuss a nuclear effect on the NuTeV sin^2 theta_W anomaly as an application.,Nuclear Theory,"Nuclear theory in physics focuses on theory of nuclear structure covering wide area from models of hadron structure to neutron stars. Nuclear equation of states at different external conditions. Theory of nuclear reactions including heavy-ion reactions at low and high energies. It does not include problems of data analysis, physics of nuclear reactors, problems of safety, reactor construction."
Formation and structure of vortex lattices in a rotating double-well Bose-Einstein condensate,Effective hamiltonian approach for strongly correlated lattice models,False,"We investigate the dynamics of vortex formation and the structure of vortex lattices in a Bose-Einstein condensate confined within a rotating double-well (DW) potential. The dynamical process is a formation process of ""ghost"" vortices, ""hidden"" vortices and ""visible"" vortices. The critical rotation frequency for the creation of visible vortex is indicated by a sudden jump in the angular momentum evolution and an inflexion in the energy evolution. Different visible vortex structures can be formed by ruling the rotation frequency. In particular, structural change of visible vortex patterns can be achieved by regulating the anisotropy parameter of the DW potential. This feature allows to flexibly control the distribution of angular momentum in macroscopic quantum systems and study the interplay among rotation, interparticle interaction and external potential in superfluids.","We review a recent approach for the simulation of many-body interacting systems based on an efficient generalization of the Lanczos method for Quantum Monte Carlo simulations. This technique allows to perform systematic corrections to a given variational wavefunction, that allow to estimate exact energies and correlation functions, whenever the starting variational wavefunction is a qualitatively correct description of the ground state. The stability of the variational wavefunction against possible phases, not described at the variational level can be tested by using the ''effective Hamiltonian'' approach. In fact Monte Carlo methods, such as the ''fixed node approximation'' and the ''generalized Lanczos technique'' (Phys. Rev. B 64,024512, 2001) allow to obtain exact ground state properties of an effective Hamiltonian, chosen to be as close as possible to the exact Hamiltonian, thus yielding the most reasonable estimates of correlation functions. We also describe a simplified one-parameter scheme that improve substantially the efficiency of the generalized Lanczos method. This is tested on the t-J model, with a special effort to obtain accurate pairing correlations, and provide a possible non-phonon mechanism for High temperature superconductivity.",Quantum Gases,"Quantum gases in condensed matter physics focuses on ultracold atomic and molecular gases, Bose-Einstein condensation, Feshbach resonances, spinor condensates, optical lattices, quantum simulation with cold atoms and molecules, and macroscopic interference phenomena."
An Interacting Parton Model for Quark and Anti-quark distributions in the Baryon,ICARUS at the Fermilab Short-Baseline Neutrino Program -- Initial Operation,False,"In this paper we study a 1+1 dimensional relativistic parton model for the structure of baryons. The quarks and anti-quarks interact through a linear potential. We obtain an analytic formula for the isospin averaged valence quark distribution in the chiral and large Nc limits. The leading 1/Nc and non-zero current quark mass corrections are estimated. Then we extend this model to include `sea' and anti-quarks. We find that the anti-quark content is small at a low value of Q^2. Using these distributions as initial conditions for Q^2 evolution, we compare with experimental measurements of the structure function xF_3(x,Q^2) and find reasonable agreement. The only parameters we can adjust are the fraction of baryon momentum carried by valence quarks and the initial scale Q_0^2.","The ICARUS collaboration employed the 760-ton T600 detector in a successful three-year physics run at the underground LNGS laboratory studying neutrino oscillations with the CERN Neutrino to Gran Sasso beam (CNGS) and searching for atmospheric neutrino interactions. ICARUS performed a sensitive search for LSND-like anomalous $\nu_e$ appearance in the CNGS beam, which contributed to the constraints on the allowed parameters to a narrow region around 1 eV$^2$, where all the experimental results can be coherently accommodated at 90% C.L.. After a significant overhaul at CERN, the T600 detector has been installed at Fermilab. In 2020, cryogenic commissioning began with detector cool down, liquid argon filling and recirculation. ICARUS has started operations and successfully completed its commissioning phase, collecting the first neutrino events from the Booster Neutrino Beam (BNB) and the Neutrinos at the Main Injector (NuMI) beam off-axis, which were used to test the ICARUS event selection, reconstruction and analysis algorithms. The first goal of the ICARUS data taking will then be a study to either confirm or refute the claim by Neutrino-4 short baseline reactor experiment both in the $\nu_\mu$ channel with the BNB and in the $\nu_e$ with NuMI. ICARUS will also address other fundamental studies such as neutrino cross sections with the NuMI beam and a number of Beyond Standard Model searches. After the first year of operations, ICARUS will commence its search for evidence of a sterile neutrino jointly with the Short Baseline Near Detector, within the Short-Baseline Neutrino program.",High Energy Physics - Phenomenology,"High energy physics - phenomenology focuses on theoretical and phenomenological research related to the understanding of fundamental particles and forces at high energies. In particular, this includes theoretical particle physics and its interrelation with experiment. Prediction of particle physics observables: models, effective field theories, calculation techniques. Particle physics: analysis of theory through experimental results."
HERMES: a Monte Carlo Code for the Propagation of Ultra-High Energy Nuclei,"Stellar Collisions in the Galactic Center: Massive Stars, Collision Remnants, and Missing Red Giants",False,"Although the recent experimental efforts to improve the observation of Ultra-High Energy Cosmic Rays (UHECRs) above $10^{18}$ eV, the origin and the composition of such particles is still unknown. In this work, we present the novel Monte Carlo code (HERMES) simulating the propagation of UHE nuclei, in the energy range between $10^{16}$ and $10^{22}$ eV, accounting for propagation in the intervening extragalactic and Galactic magnetic fields and nuclear interactions with relic photons of the extragalactic background radiation. In order to show the potential applications of HERMES for astroparticle studies, we estimate the expected flux of UHE nuclei in different astrophysical scenarios, the GZK horizons and we show the expected arrival direction distributions in the presence of turbulent extragalactic magnetic fields. A stable version of HERMES will be released in the next future for public use together with libraries of already propagated nuclei to allow the community to perform mass composition and energy spectrum analysis with our simulator.","Like most galaxies, the Milky Way harbors a supermassive black hole (SMBH) at its center, surrounded by a nuclear star cluster. In this dense star cluster, direct collisions can occur between stars before they evolve off the main-sequence. Using a statistical approach, we characterize the outcomes of these stellar collisions within the inner parsec of the Galactic Center (GC). Close to the SMBH, where the velocity dispersion is larger than the escape speed from a Sun-like star, collisions lead to mass loss. We find that the stellar population within $0.01$ pc is halved within about a Gyr because of destructive collisions. Additionally, we predict a diffuse population of peculiar low-mass stars in the GC. These stars have been divested of their outer layers in the inner $0.01$ pc before migrating to larger distances from the SMBH. Between $0.01$ and $0.1$ pc from the SMBH, collisions can result in mergers. Our results suggest that repeated collisions between lower mass stars can produce massive ($\gtrsim 10$ M$_\odot$) stars, and there may be $\sim 100$ of them residing in this region. We provide predictions on the number of G objects, dust and gas enshrouded stellar objects, that may result from main-sequence stellar collisions. Lastly, we comment on uncertainties in our model and possible connections between stellar collisions and the missing red giants in the GC.",High Energy Astrophysical Phenomena,"High energy astrophysical phenomena focuses on cosmic ray production, acceleration, propagation, detection. Gamma ray astronomy and bursts, X-rays, charged particles, supernovae and other explosive phenomena, stellar remnants and accretion systems, jets, microquasars, neutron stars, pulsars, and black holes."
Comment on Scattering of electromagnetic plane wave by an impedance strip embedded in homogeneous isotropic chiral medium,Preliminary assessment of an integrated SMOS and MODIS application for global agricultural drought monitoring,False,"The goal of this paper is to present a previously published work [1] in an errorless form. The work has studied the scattering of electromagnetic plane wave by an impedance strip placed in homogeneous isotropic chiral medium using Kobayashi Potential (KP) method; that has been an important, valuable and attractive investigation in the electromagnetic scattering, especially in KP method. Unfortunately, the study has some basic errors that prevent interesting readers from understanding the investigation. Finally, the formulation of this paper is validated by [2].","An application of the Soil Moisture Agricultural Drought Index (SMADI) at the global scale is presented. The index integrates surface soil moisture from the SMOS mission with land surface temperature (LST) and Normalized Difference Vegetation Index (NDVI) from MODIS and allows for global drought monitoring at medium spatial scales (0.05 deg).. Biweekly maps of SMADI were obtained from year 2010 to 2015 over all agricultural areas on Earth. The SMADI time-series were compared with state-of-the-art drought indices over the Iberian Peninsula. Results show a good agreement between SMADI and the Crop Moisture Index (CMI) retrieved at five weather stations (with correlation coefficient, R from -0.64 to -0.79) and the Soil Water Deficit Index (SWDI) at the Soil Moisture Measurement Stations Network of the University of Salamanca (REMEDHUS) (R=-0.83). Some preliminary tests were also made over the continental United States using the Vegetation Drought Response Index (VegDRI), with very encouraging results regarding the spatial occurrence of droughts during summer seasons. Additionally, SMADI allowed to identify distinctive patterns of regional drought over the Indian Peninsula in spring of 2012. Overall results support the use of SMADI for monitoring agricultural drought events world-wide.",Classical Physics,"Classical physics focuses on newtonian and relativistic dynamics; many particle systems; planetary motions; chaos in classical dynamics. Maxwell's equations and dynamics of charged systems and electromagnetic forces in materials. Vibrating systems such as membranes and cantilevers; optomechanics. Classical waves, including acoustics and elasticity; physics of music and musical instruments. Classical thermodynamics and heat flow problems."
Measured proton electromagnetic structure deviates from theoretical predictions,Vector meson photoproduction processes near threshold,False,"The visible world is founded on the proton, the only composite building block of matter that is stable in nature. Consequently, understanding the formation of matter relies on explaining the dynamics and the properties of the proton's bound state.A fundamental property of the proton involves the response of the system to an external electromagnetic field. It is characterized by the electromagnetic polarizabilities that describe how easily the charge and magnetization distributions inside the system are distorted by the electromagnetic field. Moreover, the generalized polarizabilities map out the resulting deformation of the densities in a proton subject to an electromagnetic field. They disclose essential information about the underlying system dynamics and provide a key for decoding the proton structure in terms of the theory of the strong interaction that binds its elementary quark and gluon constituents. Of particular interest is a puzzle in the electric generalized polarizability of the proton that remains unresolved for two decades. Here we report measurements of the proton's electromagnetic generalized polarizabilities at low four-momentum transfer squared. We show evidence of an anomaly to the behaviour of the proton's electric generalized polarizability that contradicts the predictions of nuclear theory and derive its signature in the spatial distribution of the induced polarization in the proton. The reported measurements suggest the presence of a new, not-yet-understood dynamical mechanism in the proton and present notable challenges to the nuclear theory.","We discuss the photoproduction processes of light vector mesons ($\rho$, $\omega$, and $\phi$) from the nucleon near threshold. We first develop a simple model based on meson exchanges which is modified by the nucleon pole terms. We then extend this model to study other physically interesting topics. As examples, we discuss the missing nucleon resonances problem in $\omega$ photoproduction and the direct $\phi NN$ coupling constant in $\phi$ photoproduction. The calculated cross sections are compared with the recent experimental data. Various spin observables are discussed, which may be measured at current photon/electron facilities such as TJNAF and SPring-8 of RCNP. Precise measurements of such quantities would provide very useful information to understand the production mechanism.",Nuclear Experiment,"Nuclear experiment in physics focuses on the areas of fundamental interactions, measurements at low- and medium-energy, as well as relativistic heavy-ion collisions. Does not include: detectors and instrumentation nor analysis methods to conduct experiments; descriptions of experimental programs (present or future); comments on published results."
Self-localization of directed polymers and oppressive population control,Marginal Fermi Liquid with a Two-Dimensional Patched Fermi Surface,False,"We construct a phenomenological theory of self-localization of directed polymers in d+1 dimensions. In d=1 we show that the polymer is always self-localized, whereas in d=2 there is a phase transition between localized and free states. We also map this system to a model of population dynamics with fixed total population. Our previous results translate to static and expanding population clusters, depending on the birth and death rates. A novel ``pseudo-travelling wave'' is observed in some sectors of parameter space.","We consider a model composed of Landau quasiparticle states with patched Fermi surfaces (FS) sandwiched by states with flat FS to simulate the ``cold'' spot regions in cuprates. We calculate the one particle irreducible function and the self-energy up to two-loop order. Using renormalization group arguments we show that in the forward scattering channel the renormalized coupling constant is never infrared stable due to the flat FS sectors. Furthemore we show that the self-energy scales with energy as ${\rm Re} \Sigma \sim \omega \ln \omega $ as $\omega \to 0$, and thus the Fermi liquid state within each FS patch is turned into a marginal Fermi liquid.",Statistical Mechanics,"Statistical mechanics in condensed matter physics focuses on statistical properties of systems with a large number of particles and the laws that govern their behavior. In particular, this includes phase transitions, thermodynamics, field theory, non-equilibrium phenomena, renormalization group and scaling, integrable models, and turbulence."
Synchronization of frustrated phase oscillators in the small-world networks,"Real soliton lattices of KP-II and desingularization of spectral curves: the Gr^{TP}(2,4) case",False,"We numerically study the synchronization of an identical population of Kuramoto-Sakaguchi phase oscillators in Watts-Strogatz networks. We find that, unlike random networks, phase-shift could enhance the synchronization in small-world networks. We also observe abrupt phase transition with hysteresis at some values of phase shifts in small-world networks, signs of an explosive phase transition. Moreover, we report the emergence of Chimera states at some values of phase-shift close to the transition points, which consist of spatially coexisting synchronized and desynchronized domains.","We apply the general construction developed in references [4,5] to the first non-trivial case of Gr^{TP}(2,4). In particular, we construct finite-gap KP-II real quasiperiodic solutions in the form of soliton lattice corresponding to a smooth genus 4 M-curve, which is a desingularization of a reducible rational M-curve for soliton data in Gr^{TP}(2,4).",Adaptation and Self-Organizing Systems,"Adaptation and self-organizing systems in nonlinear sciences physics focuses on systems that exhibit adaptive behavior and self-organization. In particular, this includes adaptation, self-organizing systems, statistical physics, fluctuating systems, stochastic processes, interacting particle systems, and machine learning."
The $1/N_c$ expansion in hadron effective field theory,Jet separated by a large rapidity gap at the Tevatron and the LHC,False,"We study the $N_c$ scalings of pion-nucleon and nucleon-nucleon scatterings and find that a consistent large $N_c$ counting can be established if we assume Witten's counting rules are applied to matrix elements or scattering amplitudes which use the relativistic normalization for the nucleons. With the pionless effective field theory, we also find that the $S$-wave nucleon-nucleon interaction is so strong that it should be treated nonperturbatively at the leading order in the $1/N_c$ expansion. By summing all the leading order diagrams, we find that the deuteron binding energy is of order $1/N_c$. In contrast, meson-meson interaction is so weak that loosely-bound meson-meson molecular states may not exist in the large $N_c$ limit.","We compare the recent measurements of gap between jets at the Tevatron and the LHC with the Balitski Fadin Kuraev Lipatov framework. While a good agreement is obtained with Tevatron data, some discrepancies especially for the rapidity separation between jets are found that can be explained by an excess of initial state radiation in PYTHIA.",High Energy Physics - Phenomenology,"High energy physics - phenomenology focuses on theoretical and phenomenological research related to the understanding of fundamental particles and forces at high energies. In particular, this includes theoretical particle physics and its interrelation with experiment. Prediction of particle physics observables: models, effective field theories, calculation techniques. Particle physics: analysis of theory through experimental results."
Temporal Evolution of Spatially-Resolved Individual Star Spots on a Planet-Hosting Solar-type Star: Kepler 17,Temperature Fluctuations as a Source of Brown Dwarf Variability,False,"Star spot evolution is visible evidence of the emergence/decay of the magnetic field on stellar surface, and it is therefore important for the understanding of the underlying stellar dynamo and consequential stellar flares. In this paper, we report the temporal evolution of individual star spot area on the hot-Jupiter-hosting active solar-type star Kepler 17 whose transits occur every 1.5 days. The spot longitude and area evolution are estimated (1) from the stellar rotational modulations of Kepler data and (2) from the brightness enhancements during the exoplanet transits caused by existence of large star spots. As a result of the comparison, number of spots, spot locations, and the temporal evolution derived from the rotational modulations is largely different from those of in-transit spots. We confirm that although only two light curve minima appear per rotation, there are clearly many spots present on the star. We find that the observed differential intensity changes are sometimes consistent with the spot pattern detected by transits, but they sometimes do not match with each other. Although the temporal evolution derived from the rotational modulation differs from those of in-transit spots to a certain degree, the emergence/decay rates of in-transit spots are within an order of magnitude of those derived for sunspots as well as our previous research based only on rotational modulations. This supports a hypothesis that the emergence/decay of sunspots and extremely-large star spots on solar-type stars occur through the same underlying processes.","A number of brown dwarfs are now known to be variable with observed amplitudes as large as 10-30% at some wavelengths. While spatial inhomogeneities in cloud coverage and thickness are likely responsible for much of the observed variability, it is possible that some of the variations arise from atmospheric temperature fluctuations instead of, or in addition to, clouds. To better understand the role that thermal variability might play we present a case study of brown dwarf variability using a newly-developed one-dimensional, time-stepping model of atmospheric thermal structure. We focus on the effects of thermal perturbations, intentionally simplifying the problem through omission of clouds and atmospheric circulation. Model results demonstrate that thermal perturbations occurring deep in the atmosphere (at pressures greater than 10 bar) of a model T-dwarf can be communicated to the upper atmosphere through radiative heating via the windows in near-infrared water opacity. The response time depends on where in the atmosphere a thermal perturbation is introduced. We show that, for certain periodic perturbations, the emission spectrum can have complex, time- and wavelength-dependent behaviors, including phase shifts in times of maximum flux observed at different wavelengths. Since different wavelengths probe different levels in the atmosphere, these variations track a wavelength-dependent set of radiative exchanges happening between different atmospheric levels as a perturbation evolves in time. We conclude that thermal--as well as cloud--fluctuations must be considered as possible contributors to the observed brown dwarf variability.",Solar and Stellar Astrophysics,"Solar and stellar astrophysics focuses on white dwarfs, brown dwarfs, cataclysmic variables. Star formation and protostellar systems, stellar astrobiology, binary and multiple systems of stars, stellar evolution and structure, coronas. Central stars of planetary nebulae. Helioseismology, solar neutrinos, production and detection of gravitational radiation from stellar systems."
Non-Markovian dynamics of a microcavity coupled to a waveguide in photonic crystals,Collective excitation branch in the continuum of pair-condensed Fermi gases : analytical study and scaling laws,False,"In this paper, the non-Markovian dynamics of a microcavity coupled to a waveguide in photonic crystals is studied based on Fano-type tight binding model. Using the exact master equation, we solve analytically and numerically the temporal evolution of the cavity coherent state and the associated physical observables. A critical transition is revealed when the coupling increase between the cavity and the waveguide. In particular, the cavity field becomes dissipationless when the coupling strength goes beyond a critical value, as a manifestation of strong non-Markovian memory effect. The result also indicates that the cavity can maintain in a coherent state with arbitrary small number of photons when it strongly couples to the waveguide at very low temperature. These properties can be measured experimentally through the photon current flowing over the waveguide in photonic crystals.","The pair-condensed unpolarized spin-$1/2$ Fermi gases have a collective excitation branch in their pair-breaking continuum (V.A. Andrianov, V.N. Popov, 1976). We study it at zero temperature, with the eigenenergy equation deduced from the linearized time-dependent BCS theory and extended analytically to the lower half complex plane through its branch cut, calculating both the dispersion relation and the spectral weights (quasiparticle residues) of the branch. In the case of BCS superconductors, so called because the effect of the ion lattice is replaced by a short-range electron-electron interaction, we also include the Coulomb interaction and we restrict ourselves to the weak coupling limit $\Delta/\mu\to 0^+$ ($\Delta$ is the order parameter, $\mu $ the chemical potential) and to wavenumbers $q=O(1/\xi)$ where $\xi$ is the size of a pair; when the complex energy $z_q$ is expressed in units of $\Delta$ and $q$ in units of $1/\xi$, the branch follows a universal law insensitive to the Coulomb interaction. In the case of cold atoms in the BEC-BCS crossover, only a contact interaction remains, but the coupling strength $\Delta/\mu$ can take arbitrary values, and we study the branch at any wave number. At weak coupling, we predict three scales, that already mentioned $q\approx 1/\xi$, that $q\approx(\Delta/\mu)^{-1/3}/\xi$ where the real part of the dispersion relation has a minimum and that $q\approx (\mu/\Delta)/\xi\approx k_{\rm F}$ ($k_{\rm F}$ is the Fermi wave number) where the branch reaches the edge of its existence domain. Near the point where the chemical potential vanishes on the BCS side, $\mu/\Delta\to 0^+$, where $\xi\approx k_{\rm F}$, we find two scales $q\approx(\mu/\Delta)^{1/2}/\xi$ and $q\approx 1/\xi$. In all cases, the branch has a limit $2\Delta$ and a quadratic start at $q=0$. These results were obtained for $\mu>0$, where the eigenenergy equation admits at least two branch points $\epsilon_a(q)$ and $\epsilon_b(q)$ on the positive real axis, and for an analytic continuation through the interval $[\epsilon_a(q),\epsilon_b(q)] $. We find new continuum branches by performing the analytic continuation through $[\epsilon_b(q),+\infty[$ or even, for $q$ low enough, where there is a third real positive branch point $\epsilon_c(q)$, through $[\epsilon_b(q),\epsilon_c(q)]$ and $[\epsilon_c(q),+\infty[$. On the BEC side $\mu<0$ not previously studied, where there is only one real positive branch point $ \epsilon_a(q)$, we also find new collective excitation branches under the branch cut $[\epsilon_a (q),+\infty[$. For $\mu>0$, some of these new branches have a low-wavenumber exotic hypoacoustic $z_q\approx q^{3/2}$ or hyperacoustic $z_q\approx q^{4/5}$ behavior. For $\mu<0$, we find a hyperacoustic branch and a nonhypoacoustic branch, with a limit $2\Delta$ and a purely real quadratic start at $q=0$ for $\Delta/|\mu|<0.222$.",Mesoscale and Nanoscale Physics,"Mesoscale and nanoscale physics in condensed matter physics focuses on the physical properties and behaviors of systems with dimensions at the mesoscopic scale (intermediate between microscopic and macroscopic scales) and the nanoscale (typically less than 100 nanometers). In particular, this includes semiconducting nanostructures: quantum dots, wires, and wells. Single electronics, spintronics, 2d electron gases, quantum Hall effect, nanotubes, graphene, and plasmonic nanostructures."
A study on the effect of input data length on deep learning based magnitude classifier,Anharmonic quantum contribution to vibrational dephasing,False,"The rapid characterisation of earthquake parameters such as its magnitude is at the heart of Earthquake Early Warning (EEW). In traditional EEW methods the robustness in the estimation of earthquake parameters have been observed to increase with the length of input data. Since time is a crucial factor in EEW applications, in this paper we propose a deep learning based magnitude classifier and, further we investigate the effect of using five different durations of seismic waveform data after first P wave arrival of length 1s, 3s, 10s, 20s and 30s. This is accomplished by testing the performance of the proposed model that combines Convolution and Bidirectional Long-Short Term Memory units to classify waveforms based on their magnitude into three classes ""noise"", ""low magnitude events"" and ""high magnitude events"". Herein, any earthquake signal with magnitude equal to or above 5.0 is labelled as high magnitude. We show that the variation in the results produced by changing the length of the data, is no more than the inherent randomness in the trained models, due to their initialisation.","Based on a quantum Langevin equation and its corresponding Hamiltonian within a c-number formalism we calculate the vibrational dephasing rate of a cubic oscillator. It is shown that leading order quantum correction due to anharmonicity of the potential makes a significant contribution to the rate and the frequency shift. We compare our theoretical estimates with those obtained from experiments for small diatomics $N_2$, $O_2$ and $CO$.",Geophysics,Geophysics focuses on atmospheric physics. Biogeosciences. Computational geophysics. Geographic location. Geoinformatics. Geophysical techniques. Hydrospheric geophysics. Magnetospheric physics. Mathematical geophysics. Planetology. Solar system. Solid earth geophysics. Space plasma physics. Mineral physics. High pressure physics.
Novel Core-Shell Structures for Colloids made from Surfactants and Polymers,Ground-state phase diagram of two-component interacting bosons on a two-leg ladder,False,"We report on the formation of colloidal complexes resulting from the electrostatic self-assembly of polyelectrolyte-neutral block copolymers and oppositely charged surfactants. The copolymers investigated are asymmetric and characterized by a large neutral block. Using light, neutron and x-ray scattering experiments, we have shown that the colloidal complexes exhibit a core-shell microstructure. The core is described as a dense and disordered micro-phase of micelles connected by the polyelectrolyte blocks, whereas the shell is a diffuse brush made from the neutral chains. Colloidal complexes with core-shell structures resemble the well-known amphiphilic block copolymer micelles. The self-assembly mechanism is however different here. It is based on the complexation between opposite charges. This mechanism has recently attracted much interest because it allows to associate components of different nature, such as organic and inorganic or synthetic and biological.","Using the cluster Gutzwiller mean-field method, we numerically study the ground-state phase diagram of the non-hard-core two-component interacting bosons trapped in a two-leg ladder with and without an artificial magnetic field. Interestingly, several loophole supercounterfluid (SCF) phases are observed at a sufficiently small intra- to inter-leg hopping ratio when the magnetic flux is absent. While if the ratio is not too small, the loophole SCF phases can be induced by the effect of the magnetic flux as well. Additionally, we also find that the presence of the magnetic flux leads to an enlargement of the Mott insulator lobe and the conventional SCF lobe. We hope these results can improve the understanding of the interplay between lattice gases, gauge fields, and bosonic ladder systems.",Soft Condensed Matter,"Soft condensed matter in physics focuses on the study of materials that are easily deformable by external fields or internal stresses. In particular, this includes membranes, polymers, liquid crystals, glasses, colloids, and granular matter."
